dataset,folder,n_windows,true_folder_label,majority_pred_folder_label,window_accuracy,folder_majority_correct,low_window_accuracy_flag,misclassified_windows
surface,data/P4/PVC/walking/P4_pvc_walk_0001,29,PVC,PVC,1.000000,1,0,0
surface,data/P4/PVC/walking/P4_pvc_walk_0002,29,PVC,PVC,1.000000,1,0,0
surface,data/P4/PVC/walking/P4_pvc_walk_0003,29,PVC,PVC,1.000000,1,0,0
surface,data/P4/PVC/walking/P4_pvc_walk_0004,29,PVC,PVC,1.000000,1,0,0
surface,data/P4/PVC/walking/P4_pvc_walk_0005,29,PVC,PVC,1.000000,1,0,0
surface,data/P4/PVC/walking/P4_pvc_walk_0006,29,PVC,PVC,1.000000,1,0,0
surface,data/P4/asphalt/walking/P4_asphalt_walk_0001,29,asphalt,asphalt,0.965517,1,0,1
surface,data/P4/asphalt/walking/P4_asphalt_walk_0002,29,asphalt,asphalt,0.551724,1,1,13
surface,data/P4/asphalt/walking/P4_asphalt_walk_0003,29,asphalt,asphalt,0.862069,1,1,4
surface,data/P4/asphalt/walking/P4_asphalt_walk_0004,29,asphalt,asphalt,0.827586,1,1,5
surface,data/P4/asphalt/walking/P4_asphalt_walk_0005,29,asphalt,asphalt,0.827586,1,1,5
surface,data/P4/asphalt/walking/P4_asphalt_walk_0006,29,asphalt,asphalt,0.724138,1,1,8
surface,data/P4/asphalt/walking/P4_asphalt_walk_0007,5,asphalt,asphalt,1.000000,1,0,0
surface,data/P4/grass/walking/P4_grass_walk_0001,29,grass,grass,0.931034,1,0,2
surface,data/P4/grass/walking/P4_grass_walk_0002,29,grass,grass,0.965517,1,0,1
surface,data/P4/grass/walking/P4_grass_walk_0003,29,grass,grass,0.965517,1,0,1
surface,data/P4/grass/walking/P4_grass_walk_0004,29,grass,grass,0.931034,1,0,2
surface,data/P4/grass/walking/P4_grass_walk_0005,29,grass,grass,1.000000,1,0,0
surface,data/P4/grass/walking/P4_grass_walk_0006,29,grass,grass,1.000000,1,0,0
surface,data/P4/grass/walking/P4_grass_walk_0007,7,grass,grass,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0001,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0002,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0003,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0004,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0005,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0006,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0007,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0008,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0009,29,gravel,gravel,1.000000,1,0,0
surface,data/P4/gravel/walking/P4_gravel_walk_0010,7,gravel,gravel,1.000000,1,0,0
surface,data/P4/sand/walking/P4_sand_walk_0001,29,sand,sand,1.000000,1,0,0
surface,data/P4/sand/walking/P4_sand_walk_0002,29,sand,sand,0.862069,1,1,4
surface,data/P4/sand/walking/P4_sand_walk_0003,29,sand,sand,1.000000,1,0,0
surface,data/P4/sand/walking/P4_sand_walk_0004,29,sand,sand,1.000000,1,0,0
surface,data/P4/sand/walking/P4_sand_walk_0005,29,sand,sand,0.965517,1,0,1
surface,data/P4/sand/walking/P4_sand_walk_0006,4,sand,sand,1.000000,1,0,0
