accuracy,best_model,classes,config.eval_npz,config.eval_samples,config.fusion,config.modalities,config.modalities_parsed,config.seed,config.task,config.train_npz,config.train_samples,fusion,macro_f1,metrics_path,modalities,model_params,model_size_mb,n_eval,run_dir,task,weighted_f1
0.7586837294332724,models_m14_rgb64/stage2/stage2_activity_image_single_seed42/best_model.h5,"walk,standing,sitting",datasets_m14_rgb64_stage2/activity/dataset_test.npz,2735,single,image,image,42,activity,datasets_m14_rgb64_stage2/activity/dataset_train.npz,29788,single,0.7392337771113651,models_m14_rgb64/stage2/stage2_activity_image_single_seed42/metrics.json,image,136995,1.6632614135742188,2735,models_m14_rgb64/stage2/stage2_activity_image_single_seed42,activity,0.742614249284333
1.0,models_m14_rgb64/stage2/stage2_activity_imu_image_audio_concat_seed42/best_model.h5,"walk,standing,sitting",datasets_m14_rgb64_stage2/activity/dataset_test.npz,2735,concat,"imu,image,audio","imu,image,audio",42,activity,datasets_m14_rgb64_stage2/activity/dataset_train.npz,29788,concat,1.0,models_m14_rgb64/stage2/stage2_activity_imu_image_audio_concat_seed42/metrics.json,"imu,image,audio",370531,4.461448669433594,2735,models_m14_rgb64/stage2/stage2_activity_imu_image_audio_concat_seed42,activity,1.0
1.0,models_m14_rgb64/stage2/stage2_activity_imu_image_audio_tof_concat_seed42/best_model.h5,"walk,standing,sitting",datasets_m14_rgb64_stage2/activity/dataset_test.npz,2735,concat,"imu,image,audio,tof","imu,image,audio,tof",42,activity,datasets_m14_rgb64_stage2/activity/dataset_train.npz,29788,concat,1.0,models_m14_rgb64/stage2/stage2_activity_imu_image_audio_tof_concat_seed42/metrics.json,"imu,image,audio,tof",414355,5.0072174072265625,2735,models_m14_rgb64/stage2/stage2_activity_imu_image_audio_tof_concat_seed42,activity,1.0
1.0,models_m14_rgb64/stage2/stage2_activity_imu_image_gated_seed42/best_model.h5,"walk,standing,sitting",datasets_m14_rgb64_stage2/activity/dataset_test.npz,2735,gated,"imu,image","imu,image",42,activity,datasets_m14_rgb64_stage2/activity/dataset_train.npz,29788,gated,1.0,models_m14_rgb64/stage2/stage2_activity_imu_image_gated_seed42/metrics.json,"imu,image",244261,2.9793472290039062,2735,models_m14_rgb64/stage2/stage2_activity_imu_image_gated_seed42,activity,1.0
1.0,models_m14_rgb64/stage2/stage2_activity_imu_single_seed42/best_model.h5,"walk,standing,sitting",datasets_m14_rgb64_stage2/activity/dataset_test.npz,2735,single,imu,imu,42,activity,datasets_m14_rgb64_stage2/activity/dataset_train.npz,29788,single,1.0,models_m14_rgb64/stage2/stage2_activity_imu_single_seed42/metrics.json,imu,99139,1.2244720458984375,2735,models_m14_rgb64/stage2/stage2_activity_imu_single_seed42,activity,1.0
0.9116719242902208,models_m14_rgb64/stage2/stage2_surface_audio_single_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,single,audio,audio,42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,single,0.9003828807816786,models_m14_rgb64/stage2/stage2_surface_audio_single_seed42/metrics.json,audio,135685,1.649505615234375,951,models_m14_rgb64/stage2/stage2_surface_audio_single_seed42,surface,0.9077753173263448
0.9926393270241851,models_m14_rgb64/stage2/stage2_surface_image_audio_concat_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,concat,"image,audio","image,audio",42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,concat,0.9926235152940024,models_m14_rgb64/stage2/stage2_surface_image_audio_concat_seed42/metrics.json,"image,audio",280613,3.3811187744140625,951,models_m14_rgb64/stage2/stage2_surface_image_audio_concat_seed42,surface,0.9925900247912064
0.9842271293375394,models_m14_rgb64/stage2/stage2_surface_image_audio_tof_concat_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,concat,"image,audio,tof","image,audio,tof",42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,concat,0.9827788314188265,models_m14_rgb64/stage2/stage2_surface_image_audio_tof_concat_seed42/metrics.json,"image,audio,tof",324437,3.9258499145507812,951,models_m14_rgb64/stage2/stage2_surface_image_audio_tof_concat_seed42,surface,0.9841960519734424
0.9589905362776026,models_m14_rgb64/stage2/stage2_surface_image_single_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,single,image,image,42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,single,0.9561286004940408,models_m14_rgb64/stage2/stage2_surface_image_single_seed42/metrics.json,image,137125,1.665374755859375,951,models_m14_rgb64/stage2/stage2_surface_image_single_seed42,surface,0.9594178104957429
0.9484752891692955,models_m14_rgb64/stage2/stage2_surface_image_tof_concat_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,concat,"image,tof","image,tof",42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,concat,0.9416449287054058,models_m14_rgb64/stage2/stage2_surface_image_tof_concat_seed42/metrics.json,"image,tof",197973,2.4205780029296875,951,models_m14_rgb64/stage2/stage2_surface_image_tof_concat_seed42,surface,0.9467096941481479
0.9621451104100947,models_m14_rgb64/stage2/stage2_surface_image_tof_gated_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,gated,"image,tof","image,tof",42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,gated,0.9603142353761956,models_m14_rgb64/stage2/stage2_surface_image_tof_gated_seed42/metrics.json,"image,tof",198167,2.441925048828125,951,models_m14_rgb64/stage2/stage2_surface_image_tof_gated_seed42,surface,0.9619277374267746
0.9621451104100947,models_m14_rgb64/stage2/stage2_surface_imu_image_tof_concat_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,concat,"imu,image,tof","imu,image,tof",42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,concat,0.9635161434543,models_m14_rgb64/stage2/stage2_surface_imu_image_tof_concat_seed42/metrics.json,"imu,image,tof",288021,3.502197265625,951,models_m14_rgb64/stage2/stage2_surface_imu_image_tof_concat_seed42,surface,0.9616767561555288
