fold,task,fusion,modalities,seed,test_accuracy,test_macro_f1,test_weighted_f1,test_n,nonoverlap_accuracy,nonoverlap_macro_f1,nonoverlap_weighted_f1,nonoverlap_n
test_p1p2,activity,gated,imu+audio,43,0.8636621169199072,0.8611827451691046,0.8623259912102511,19415,0.8637134590441984,0.8611720162594384,0.8623435503568848,10023
test_p1p2,activity,gated,imu+audio,44,0.8571207828998197,0.8555807924242939,0.8565008387438386,19415,0.8566297515713858,0.8551480513114856,0.8560698519473998,10023
test_p1p2,activity,gated,imu+tof+mag+audio+image,43,0.8801442183878444,0.8763574823669705,0.8775663671961016,19415,0.8803751371844757,0.8765253064065237,0.8777634445221588,10023
test_p1p2,activity,gated,imu+tof+mag+audio+image,44,0.8473860417203194,0.8457442123022947,0.846765713465063,19415,0.8480494861817819,0.8463767775482146,0.8474145150830591,10023
test_p1p2,surface,concat,audio+image,43,0.9770785876993167,0.9757262319955642,0.9770502590915567,7024,0.9753871681415929,0.9737387805723315,0.975347992271163,3616
test_p1p2,surface,concat,audio+image,44,0.9802107061503417,0.9792631814156719,0.9802104328587219,7024,0.980641592920354,0.9797199543109507,0.980648648457763,3616
test_p3,activity,gated,imu+audio,43,0.9678010218837366,0.968297077097998,0.9678356767536285,10373,0.9672836044120396,0.9678715595465847,0.9673260999580957,5349
test_p3,activity,gated,imu+audio,44,0.9888171213727948,0.988405277265946,0.988798758670206,10373,0.9878481959244718,0.987389490317912,0.9878259294343197,5349
test_p3,activity,gated,imu+tof+mag+audio+image,43,0.9466885182685819,0.9470774271722623,0.9462469295264723,10373,0.9474668162273322,0.9479976327535068,0.9470498015032581,5349
test_p3,activity,gated,imu+tof+mag+audio+image,44,0.9885279089945049,0.9886689980524554,0.988557780871768,10373,0.9885959992521967,0.9887599979408966,0.988625534644853,5349
test_p3,surface,concat,audio+image,43,0.9541984732824428,0.9552126158926562,0.9548449722492861,3275,0.9529761904761904,0.9545289505552071,0.9535560365061334,1680
test_p3,surface,concat,audio+image,44,0.9584732824427481,0.9601145026912119,0.9590932605471955,3275,0.9553571428571429,0.9578513167856835,0.9560092778586524,1680
test_p4,activity,gated,imu+audio,43,0.9985374771480804,0.998559680125591,0.9985380025053276,2735,0.9978828510938603,0.9979261783980857,0.9978826872998615,1417
test_p4,activity,gated,imu+audio,44,0.9996343692870201,0.9996338160076007,0.9996343605886969,2735,1.0,1.0,1.0,1417
test_p4,activity,gated,imu+tof+mag+audio+image,43,1.0,1.0,1.0,2735,1.0,1.0,1.0,1417
test_p4,activity,gated,imu+tof+mag+audio+image,44,1.0,1.0,1.0,2735,1.0,1.0,1.0,1417
test_p4,surface,concat,audio+image,43,0.9747634069400631,0.9741777977174149,0.9742096770534904,951,0.9756592292089249,0.9753754613864425,0.975258914368492,493
test_p4,surface,concat,audio+image,44,0.9842271293375394,0.9851524840099894,0.984072123206596,951,0.9858012170385395,0.9868952177788435,0.9856575137443321,493
test_p1p2,activity,gated,imu+audio,42,0.8701519443729075,0.8671732710741407,0.8682879635994054,19415,0.870896937044797,0.8677128055986718,0.8688820074802627,10023
test_p1p2,activity,gated,imu+tof+mag+audio+image,42,0.8738604172031934,0.8666984381517676,0.8689952447038528,19415,0.8737902823505936,0.8666141608443816,0.8688871825224787,10023
test_p1p2,surface,concat,audio+image,42,0.9854783599088838,0.9850258963708765,0.9854594282655018,7024,0.9858960176991151,0.9852512046475089,0.9858790579674233,3616
test_p3,activity,gated,imu+audio,42,0.9951797936951702,0.9950816553575598,0.9951755784355315,10373,0.9958870816975135,0.9958080552841895,0.9958840605473985,5349
test_p3,activity,gated,imu+tof+mag+audio+image,42,0.9972042803431986,0.9972277476456313,0.9972051168397649,10373,0.9977565900168256,0.997779085983967,0.9977574898912983,5349
test_p3,surface,concat,audio+image,42,0.9581679389312977,0.9588702365231253,0.958676717366623,3275,0.9553571428571429,0.9565479386200646,0.9560311426296477,1680
test_p4,activity,gated,imu+audio,42,0.9985374771480804,0.998559680125591,0.9985380025053276,2735,0.9978828510938603,0.9979261783980857,0.9978826872998615,1417
test_p4,activity,gated,imu+tof+mag+audio+image,42,0.9996343692870201,0.9996418049069842,0.9996343734017231,2735,1.0,1.0,1.0,1417
test_p4,surface,concat,audio+image,42,0.9800210304942166,0.9801300338959186,0.9796171545028657,951,0.9837728194726166,0.9838712911667351,0.9835093485602554,493
